重庆润栎建筑劳务有限公司	106.559674,29.534276
重庆诚科环境科技有限公司	106.235708,29.273158
重庆瑾萱苗木有限公司	106.463774,29.558669
重庆市兴满汇建材销售有限公司	108.404367,30.696115
重庆硒蜀科技有限公司	106.518442,29.473586
重庆金之懿装饰工程有限公司	106.274764,29.428601
重庆弘成捷工程机械租赁有限公司	106.688546,29.612282
重庆景隆建筑装饰工程有限公司	108.402616,30.764426
重庆昆腾劳务有限公司	106.301374,29.551834
重庆岩居装饰设计咨询有限公司	106.608887,29.648871
重庆品川物业管理有限公司	106.404496,29.821539
重庆航林市政园林工程有限公司	106.340281,29.617605
重庆市大本营全案装饰设计工程有限公司	108.398382,30.774989
重庆凌贵风建筑工程有限公司	106.530023,29.581712
重庆美立方文化艺术传播有限公司	106.538798,29.585291
重庆中蓝通风设备有限公司	106.575447,29.518132
重庆果之槟农业发展有限公司	106.068891,29.254301
同赢天下（重庆）信息科技有限责任公司	106.523865,29.597864
重庆市巴南区东温泉供销合作社有限公司	106.859231,29.453701
重庆超瑞房地产经纪有限公司	106.366971,29.612229
重庆鎏中农业发展有限公司	106.413118,29.640407
重庆唐老鸭建筑装饰设计工程有限公司	查询失败
重庆海之亦文化传播有限公司	106.554809,29.528146
重庆峰阁园林绿化工程有限公司	106.569341,29.525565
赛骅科技（重庆）有限公司	106.472348,29.565414
重庆亨康荣商贸有限公司	106.561714,29.523036
重庆相国政工贸有限公司	106.528180,29.604421
重庆市江津区莹祥农业开发有限公司	106.383741,28.981773
重庆砼纵建筑劳务有限公司	106.295865,29.253017
重庆渝狼科技有限公司	106.319732,29.585693
重庆蓝蝶装饰工程有限公司	106.453394,29.542029
重庆卫管家清洁服务有限公司	106.477695,29.555206
重庆力建装饰工程有限公司	106.464732,29.552147
重庆嘉鏮生态农业发展有限公司	106.360916,29.419073
重庆雅春物业管理发展集团有限公司	106.253220,29.286640
重庆市北碚区本英花木园艺场	106.445122,29.822616
重庆均旸清洁服务有限公司	106.456930,29.538347
重庆东流物业管理有限公司	106.370632,29.485398
重庆涛百顺建筑设备租赁有限公司	106.526285,29.369980
重庆外劳国际服务外包有限公司	106.472348,29.565414
重庆悦善农业开发有限公司	106.599614,29.908809
重庆凯越联合科技发展有限公司	106.508090,29.535290
重庆帝颐品农业发展有限公司	106.557068,29.251974
重庆金佰特厨具有限公司	106.453798,29.565408
重庆笑熬江湖餐饮管理有限公司	106.564700,29.526745
重庆威灵顿照明工程有限公司	106.546320,29.586170
重庆尊典装饰工程有限公司	106.630340,29.734054
重庆磐谷建筑工程有限公司	106.513497,29.585399
重庆广信医疗器械有限公司	106.452133,29.549312
重庆路远田缘生态农业专业合作社	106.303940,29.173179
淼嘉生态环保科技（重庆）有限公司	106.523873,29.559271
重庆宏月家政服务有限公司	106.369492,29.609990
重庆优利恩商务顾问有限公司	106.497251,29.584628
重庆宏伍建设集团有限公司	106.453414,29.578084
重庆弘悦建筑工程有限公司	106.448106,29.558853
重庆昕久建设发展有限公司	106.484878,29.580429
重庆壮信建筑劳务有限公司	106.271129,29.286491
重庆市宏玺机械设备租赁有限公司	108.408927,30.792790
重庆深耕装饰工程有限公司	108.490468,30.766346
重庆申仕邦实业有限公司	106.302092,29.429877
重庆斗套田农业开发有限公司	105.953070,29.117846
重庆泉名装饰设计工程有限公司	106.526638,29.539190
重庆看山农业开发有限公司	106.606180,30.042703
重庆蛟鹏建筑劳务有限公司	106.573529,29.529228
重庆澎湃机械设备租赁有限公司	106.445612,29.573601
重庆金丝路商贸有限公司	106.405906,29.797403
重庆若梦园林绿化工程有限公司	106.373576,29.627558
重庆纬乾建设有限公司	查询失败
重庆王安建筑工程有限公司	106.459477,29.539532
重庆馨旺森园林景观工程有限公司	106.290963,29.594567
重庆市江津区东坝建材加工厂	106.020859,29.238349
重庆茂燕商贸有限公司	106.620124,29.707822
重庆丰宝盛科技有限公司	106.576126,29.456669
重庆晟长迪建筑工程有限公司	106.533840,29.375528
重庆江金建筑劳务有限公司	106.337312,29.616825
重庆威金劳务有限公司	106.424504,29.830290
重庆双渝建材有限公司	106.544015,29.397751
重庆三耳闻道生态环境科技有限公司	106.633449,29.730835
重庆雄玖建筑工程有限公司	106.370603,29.479456
重庆成帅交通设施有限公司	106.608552,29.384879
重庆联君里网络科技有限公司	106.570270,29.558103
重庆云枣谷生态农业有限公司	106.255812,29.372041
重庆子衡电气有限公司	106.548489,29.597233
重庆市巴田农业发展有限公司	106.515077,29.387803
重庆陆源环保科技有限公司	106.443896,29.508051
重庆市江津区立竹家庭农场	106.070785,29.159032
重庆市乐蕊花木专业合作社	106.561513,29.883128
重庆闽炫建材有限公司	106.291710,29.443199
重庆希伟格生态农业有限公司	106.438951,29.090185
重庆央筑装饰工程有限公司	106.637132,29.501586
重庆桉树林环境卫生服务有限公司	106.620779,29.704820
重庆攀洋新型环保建材有限公司	106.545058,29.448183
重庆金刚碑相聚温塘物业管理有限公司	106.422114,29.830904
重庆贰拾玖农业开发有限公司	106.616085,29.343208
重庆非衣非衣装饰设计工程有限公司	106.576292,29.535458
重庆市渝北区盛果农业专业合作社	106.913930,29.958638
重庆卓德消防工程有限公司	106.417655,29.825521
重庆月下智慧农业科技有限公司	106.944643,29.607424
重庆绿森优元环境绿化工程有限公司	106.554885,29.577054
重庆瑞樾装饰工程有限公司	106.544459,29.402104
重庆源莱顺建筑工程有限公司	106.439773,29.822488
重庆颐之苑农业发展有限公司	106.398217,29.487226
重庆思凡睿工程咨询有限公司	106.602884,29.698591
重庆九糖司电子商务有限公司	106.468840,29.557138
重庆锦裕诚环保工程有限公司	查询失败
重庆眺奇劳务有限公司	106.144590,29.272650
重庆懋胜生态农业开发有限公司	106.502431,29.589626
重庆玉昆兴建筑劳务有限公司	106.538250,29.376300
重庆飞伟建筑劳务有限公司	106.566319,29.527908
重庆劝工环保工程有限公司	106.575816,29.520305
重庆傅宗林生态农业开发有限公司	106.687787,29.682108
重庆禹杭昇建筑劳务有限公司	106.564720,29.528090
重庆正亚建设有限公司	106.484153,29.565390
重庆邦瀚环境工程有限公司	106.601024,29.695922
重庆道吉园林绿化工程有限公司	106.511288,29.573774
重庆堵神防水材料有限公司	106.454600,29.521230
重庆粤翰城文化发展有限公司	106.454130,29.734738
重庆三合元茶叶有限公司	106.510934,29.602048
重庆决明建筑工程有限公司	106.596466,29.594115
重庆正豪建筑机械租赁有限公司	106.288346,29.262878
重庆甲寺建筑装饰工程有限公司	106.540791,29.577171
重庆和粤商贸有限公司	106.571835,29.514624
重庆芳若居园林有限公司	106.573182,29.532452
重庆渝欣筑建筑工程有限公司	106.931470,29.718651
重庆南朝建筑装饰工程有限公司	106.598979,29.666473
重庆越有建筑劳务有限公司	106.468182,29.714133
重庆鑫饶建筑劳务有限公司	108.386536,30.775500
重庆市渝北区理羽涵生态农业旅游开发有限公司	106.699618,30.028972
重庆市房博士装饰设计有限公司	106.463774,29.558669
重庆之间正一企业管理咨询有限公司	106.513318,29.579771
重庆桑榆景观设计工程有限公司	106.593299,29.596553
重庆泓之烽建设工程有限公司	108.395848,30.828065
重庆春山园林景观工程有限责任公司	106.513729,29.379795
重庆文亮建设工程有限公司	106.259281,29.290069
重庆至呈建筑工程有限公司	106.519170,29.571043
重庆心与欣文化传播有限公司	106.608706,29.648514
重庆福莹佳装饰设计工程有限公司	106.564398,29.528518
重庆环湖物业管理有限公司	108.352550,30.819800
重庆美焕佳装饰工程有限公司	106.505351,29.536840
重庆友鼎实业有限公司	106.214397,29.258388
重庆阔夏生态农业科技有限公司	108.211802,30.581626
重庆勇宣农业有限公司	106.235309,28.904233
重庆瑞如恒建筑装饰工程有限公司	106.268116,29.281165
重庆宇之艺农业开发有限公司	106.606630,29.955960
重庆涌湖茶叶有限公司	108.277200,30.497821
重庆星际渝都建筑劳务有限公司	106.497664,29.387884
重庆丞杰达科技有限公司	106.568946,29.498989
重庆向兰会花卉苗圃有限公司	108.393056,30.885286
重庆灯烽造极照明科技有限公司	106.546470,29.546820
重庆叶童花木专业合作社	106.590652,29.892532
重庆尉老里企业服务有限公司	106.530171,29.583764
重庆春澜漫农业发展有限公司	106.571042,29.205095
重庆端诚装饰装璜工程有限公司	108.373992,30.846626
重庆睿嘉美装饰设计工程有限公司	106.278596,29.420261
重庆筑固科技有限公司	106.588188,29.540697
重庆沁源清洁服务有限公司	106.556258,29.525842
重庆渝科源环保科技有限公司	106.386079,29.630154
重庆和工园林工程有限公司	106.480252,29.734630
重庆市万州区张登珍农业开发有限公司	108.389984,30.713813
重庆鑫天浩建筑装饰设计工程有限公司	查询失败
重庆郡矩建筑劳务有限公司	106.526054,29.601724
重庆富斯洁环保科技有限公司	106.449906,29.577944
重庆亿家智科技发展有限责任公司	106.558776,29.556262
重庆创厚建筑工程有限公司	106.551193,29.462800
重庆土星园林工程有限公司	106.560847,29.582252
重庆万森德弘装饰工程有限公司	106.512383,29.584921
五道九州（重庆）文化创意发展有限公司	106.552702,29.596899
重庆市北碚区农民合作社服务中心有限公司	106.442298,29.824258
重庆天成源工程咨询有限公司	106.560843,29.595227
重庆长健丰园林绿化工程有限公司	108.479494,30.778901
重庆博斯特装饰工程有限责任公司	106.585607,29.647943
重庆市万州区百安园林绿化有限公司	108.469440,30.752169
重庆天鸿商务信息咨询有限公司	106.574930,29.510733
凡讯（重庆）广告有限公司	108.408081,30.793713
重庆乐恋家装饰设计工程有限公司	106.446125,29.546592
重庆润著装饰设计工程有限公司	108.374234,30.852012
重庆恩致建筑劳务有限公司	106.546130,29.579630
重庆健源鸿建筑工程有限公司	106.627808,29.703701
重庆同创鸥翔房地产开发有限公司	106.459472,29.557710
重庆市万州区万达广场商业管理有限公司	108.383317,30.811893
重庆中智汇国际贸易有限公司	106.601500,29.702675
重庆裕名越劳务有限公司	106.619934,29.706119
重庆建力泰建筑劳务有限公司	108.374862,30.811904
中龙腾辉西南建设有限公司	106.557968,29.464124
重庆晴月农业开发有限公司	106.361149,29.102792
重庆利高博建筑装饰工程有限公司	106.533840,29.375528
澳克斯诺（重庆）环保科技合伙企业（有限合伙）	106.572159,29.490540
重庆聚优谷农业发展有限公司	106.639557,29.442968
重庆四同吉商贸有限公司	106.510950,29.583640
重庆景登园林景观设计工程有限公司	106.569313,29.525601
重庆融暖园艺场	106.362303,29.756190
重庆钦点之星文化传媒有限公司	108.370818,30.801702
重庆市渝北区勤正物业管理有限公司	106.598135,29.682882
重庆茂特园林景观工程有限公司	106.596320,29.678234
重庆臻康净环保科技有限公司	106.365931,29.612265
重庆鑫景轩园林绿化工程有限公司	106.697935,29.769431
重庆东晟建筑工程有限责任公司	106.543495,29.586486
重庆紫雕雕刻有限公司	106.178978,28.986381
重庆传祺商贸有限公司	108.372566,30.797211
重庆延政花木专业合作社	106.568515,29.867033
重庆润达交通设施有限公司	106.294406,29.430209
重庆锐锋环保科技有限公司	查询失败
重庆赫彦堃建筑工程有限公司	106.574430,29.521577
重庆氿一物业管理有限公司	106.464247,29.551378
重庆市万州区华博装卸有限公司	108.371396,30.869881
重庆丽诗雅舍商业运营管理有限公司	106.565650,29.539953
重庆大筒木装饰设计有限公司	106.470434,29.754251
龙湖嘉悦物业服务有限公司	106.542883,29.521665
重庆映澈劳务有限公司	106.537880,29.581180
重庆东熹农业开发有限公司	106.586814,29.644857
重庆市敢拼物业管理有限公司	106.624513,29.705238
重庆名彩装饰设计有限公司	106.522238,29.578350
重庆元周工程技术咨询有限公司	106.562712,29.513319
重庆泓基新材料有限公司	106.503066,29.584145
重庆太德建筑工程有限公司	106.310998,29.601221
重庆千家喜建筑装饰工程有限公司	106.575865,29.518120
重庆三舍装饰工程有限公司	106.615013,29.698850
重庆腾州光电科技有限公司	106.310693,29.599235
重庆市乔创花木种植场	106.624770,29.376669
重庆顺齐利环保设备有限公司	106.147376,29.067785
重庆申巢建筑劳务有限公司	106.466889,29.581604
重庆固然美地坪材料有限公司	106.618342,29.391560
重庆久东立智能科技有限公司	106.480298,29.589846
重庆兴泰乐达科技有限公司	106.566620,29.509361
重庆冠材装饰工程有限公司	查询失败
重庆荣洲实业有限公司	106.525038,29.588647
重庆厚仁路桥工程有限公司	106.509996,29.538383
重庆建正科技有限公司	106.565650,29.539953
重庆祥弘安建筑劳务有限公司	106.574474,29.499097
重庆市皖星农业发展有限公司	106.624770,29.376669
重庆绿满城网络科技有限公司	106.488685,29.562674
重庆锦天昌和建筑设计咨询有限公司	106.496912,29.568355
重庆顺友铝材有限公司	106.371684,29.506220
重庆兰布达科技有限公司	106.550881,29.439816
重庆绿韵环保工程有限公司	106.541676,29.580090
重庆银林珑装饰设计工程有限公司	106.625719,29.322778
重庆市红帆建筑机具租赁有限公司生态园	106.713517,29.792868
重庆市万州区好梦园装饰工程有限公司	108.376506,30.796246
重庆国妙园林绿化工程有限公司	108.447042,30.769938
重庆国欧生态环境科技有限公司	106.572782,29.577003
重庆千牛劳务有限公司	106.520669,29.464377
重庆中善以来商业管理有限公司	106.543385,29.579649
重庆炬琳芜建筑劳务有限公司	108.386214,30.819435
重庆喆思工程管理咨询有限公司	106.456878,29.541145
重庆龙歌居艺建筑工程有限公司	106.605528,29.689322
重庆致烨工程勘察设计有限公司	106.480252,29.734630
重庆鹏誉实业有限公司	106.315593,29.398962
重庆城际建筑劳务有限公司	106.271672,29.279374
重庆畜科农业科技有限公司	106.704063,29.867705
重庆市翔晨管道疏浚有限公司	106.440132,29.827503
重庆平平保温材料有限公司	106.386079,29.630154
重庆西予工程建设管理有限公司	106.472348,29.565414
重庆标日市政工程有限公司	106.372452,29.591791
重庆九发建设有限公司	106.443893,29.593292
重庆网云易融电子商务有限公司	106.523419,29.588297
重庆三合文化创意有限公司	查询失败
重庆光恒建材有限公司	108.402244,30.764298
重庆榆文环保工程有限公司	106.542186,29.518409
重庆艾安环保工程有限公司	106.506488,29.361419
重庆太纳科技有限公司	查询失败
铭态的（重庆）日用百货经营部	106.629013,29.725143
重庆智优家装饰工程有限公司	108.377590,30.817824
重庆臣山旅游规划设计有限公司	106.255421,29.278026
重庆建业环卫服务有限公司	106.607655,29.689958
东乾（重庆）门窗制造有限公司	108.387870,30.797160
重庆正耀久环保工程有限公司	106.573013,29.534770
重庆鹭岭生态农业旅游开发有限公司	106.645931,29.801815
重庆战旗生态环境建设有限公司	查询失败
重庆禾鼎建筑劳务有限公司	106.589189,29.863365
重庆八个七钢结构有限公司	106.318439,29.642225
重庆玲艺绘华装饰工程有限公司	108.442323,30.762503
重庆余恒环境卫生服务有限公司	106.285798,29.450982
重庆优胜博农业发展有限公司	106.272264,29.270358
重庆筑秋建设工程有限公司	106.369370,29.519008
重庆信达运通科技咨询有限公司	106.556349,29.745761
重庆家嘉裕建筑劳务有限公司	106.270683,29.318192
重庆耀聪园林有限公司	108.347718,30.710081
重庆裕富凌工程机械租赁有限公司	106.789639,29.245689
重庆爱迈农业综合开发有限公司	查询失败
重庆园梦唯艺文化艺术有限公司	106.554809,29.528146
汉典（重庆）拍卖有限公司	105.592549,29.402047
重庆厚维安全技术服务有限公司	106.541460,29.440200
重庆市新腾坝花木种植场	106.445122,29.822616
重庆星饰科技有限公司	106.460158,29.546352
重庆旭烨装饰工程有限公司	106.525382,29.382040
重庆美吉亚科技有限公司	106.515371,29.540303
重庆瑞蒙环保科技有限公司	106.424504,29.830290
重庆圣烨建筑劳务有限公司	106.140534,29.239626
重庆市衡鸿生态农业开发有限公司	106.558363,29.517508
重庆名固地坪科技有限公司	106.620912,29.698278
重庆普顿装饰设计有限公司	106.548050,29.564651
重庆和汇家园艺工程有限公司	106.711073,29.733011
重庆圣仑达环境科技有限公司	106.259064,29.319279
重庆市智者农业发展有限公司	106.601737,29.397449
重庆轩榭建筑设计工作室	106.630760,29.734026
重庆市美琪节能科技发展有限公司	106.400246,29.296626
重庆悦烁环境工程有限公司	106.312913,29.583797
重庆春彦清洁服务有限公司	106.336008,29.617051
此起（重庆）生态观光农业有限公司	106.563166,29.948619
重庆龙之霖商贸有限公司	106.551862,29.336933
重庆雄筑建筑劳务有限公司	106.148266,29.065605
重庆仟零亿建设工程有限公司	106.563159,29.531249
重庆康土卫田农业科技有限公司	106.611650,29.666010
重庆东庄建筑工程有限公司	106.546236,29.522685
重庆睿尧农业开发有限公司	106.253220,29.286640
重庆质子科技有限责任公司	106.540077,29.590015
重庆和秾商贸有限公司	106.623588,29.447187
重庆三巨头装饰工程有限公司	106.459355,29.541490
重庆润水水业有限公司	106.526450,29.572803
重庆山高远迹建筑工程有限公司	106.577491,29.520509
重庆鑫跃峰安防科技院	106.562466,29.529251
重庆新名侍家政服务有限公司	106.523449,29.582265
重庆市巴南区皖勇农业发展有限公司	106.704765,29.378518
重庆市渝北区渔珊家庭农场	106.845147,29.825967
重庆意远建设工程有限公司	106.566754,29.539534
重庆市贵禄建材有限责任公司	106.259281,29.290069
重庆闪电建筑材料有限公司	106.535062,29.546463
重庆知农实业有限公司	106.496912,29.568355
重庆汛恒水电安装有限公司	106.518391,29.590888
重庆市惠梦洁环保科技有限责任公司	106.353386,29.621474
重庆展欣商贸有限责任公司	106.466682,29.555542
重庆知乐家政服务有限公司	106.648864,29.771531
重庆棠熹农业发展有限公司	106.607762,29.375629
重庆信美园林工程有限公司	106.644039,29.513584
重庆舍卡装饰设计工程有限公司	106.547027,29.464387
重庆市北碚区宏康物业管理有限公司	106.441116,29.821596
重庆接度实业有限公司	106.535041,29.571153
重庆龙猫家政服务有限公司	106.519790,29.582592
重庆稔穰农业发展有限公司	108.390961,30.788399
重庆同福聚福农业开发有限公司	106.492426,29.233196
重庆凭峡装饰工程有限公司	108.396902,30.777962
重庆智和通科技有限公司	106.624814,29.471699
重庆邦昕涛建筑劳务有限公司	106.541909,29.527639
重庆眺宏科技有限公司	106.553171,29.505383
重庆鑫翔吉明建筑工程有限公司	106.254403,29.284845
重庆鑫南鑫建设工程有限公司	106.574286,29.534391
重庆渝彩威劳务有限公司	106.583150,29.727038
重庆恒耀环保工程有限公司	106.253719,29.267688
重庆绿水物业服务有限公司	106.460184,29.557287
重庆山那边农业开发有限公司	106.443825,29.824213
重庆克劳迪环保工程有限公司	106.558168,29.513538
重庆铄石流金商贸有限公司	106.361149,29.102792
重庆鸿猫环境工程有限公司	106.552585,29.505616
重庆铄栎烁水环保科技有限公司	106.533840,29.375528
重庆均晔机器人科技有限公司	106.375800,29.599070
重庆华巨实业有限公司	106.561423,29.556893
重庆观止文化传播有限公司	106.632379,29.717312
重庆玉坤龙工贸有限公司	106.533002,29.575487
重庆颐莲灯饰有限公司	106.558135,29.518602
重庆宸章建筑工程有限公司	106.403046,29.815714
中甦业盛建设工程（重庆）有限公司	106.519143,29.386747
重庆郡曦建筑设备租赁有限公司	106.708274,29.475073
重庆邦弘环保工程有限公司	106.621230,29.711712
重庆龙坤建筑劳务有限公司	106.515797,29.592313
重庆能山市政工程有限公司	106.551622,29.468802
重庆息壤生态环境科技有限公司	106.533840,29.375528
重庆市鹤鹿园农业发展有限公司	106.386220,29.416416
重庆康沐生态旅游开发有限公司	106.813706,29.911760
重庆天宽建筑劳务有限公司	108.390246,30.797203
重庆好生活市场管理有限公司	106.862185,29.453309
重庆拓客建筑工程有限公司	106.711073,29.733011
重庆东钉园林工程有限公司	106.552700,29.551348
重庆淼嘉建筑劳务有限公司	106.485288,29.577190
重庆寇斯彦实业有限公司	106.603011,29.688423
重庆渝腾废旧物资回收有限公司	106.654351,29.620270
重庆绿色科技开发（集团）有限公司	查询失败
重庆北翱园林景观工程有限公司	106.581860,29.650589
重庆积勤建设发展有限公司	106.527923,29.559069
重庆市丹瀚生态农业有限公司	108.599682,30.807825
重庆城光通信科技有限责任公司	查询失败
重庆玖正环境科技有限公司	106.528452,29.575395
重庆小义家装饰设计有限公司	106.253901,29.281220
重庆桐康生物科技有限公司	106.516498,29.586378
重庆肯迪科技有限公司	106.567123,29.525989
重庆美沁佳物业管理有限公司	106.360916,29.419073
重庆聚美家装饰设计有限公司	106.541500,29.464450
重庆永汪清洁服务有限公司	106.669120,29.612676
重庆市江津区远茂水果种植专业合作社	106.559695,29.045408
重庆瑞筑建筑劳务有限公司	106.254348,29.266798
重庆晓茑建筑装饰工程有限公司	106.605809,29.712387
重庆皖胧洁农业发展有限公司	106.607762,29.375629
重庆凡速科技有限公司	106.228027,29.210508
重庆莱克尼生物科技有限公司	106.518311,29.570996
重庆顺隆物业管理有限公司	106.501342,29.581347
重庆同迹汉冶萍新材料科技有限公司	106.298193,29.595853
重庆山悦水景观设计工程有限公司	查询失败
重庆天木可建筑装饰设计工程有限公司	查询失败
重庆商塞恩科技有限公司	106.547272,29.583150
重庆市北碚区东亿园林绿化有限公司	106.443521,29.772682
重庆渝赛建筑劳务有限公司	106.577021,29.514388
重庆绿净康环保科技有限公司	106.608056,29.679746
重庆泽恩市政园林工程有限公司	106.462003,29.570866
重庆丰盛汇科技有限公司	查询失败
重庆市江津区同致诚水产养殖专业合作社	106.279902,28.811201
重庆菁水环保工程有限公司	106.439773,29.822488
重庆中予汇科建设有限公司	106.319732,29.585693
重庆新路欣商贸有限公司	查询失败
重庆竑业新地工程管理咨询有限公司	106.568551,29.524610
重庆垒阳机电安装工程有限公司	106.543333,29.410519
重庆万点星建筑工程有限公司	106.307372,29.595046
重庆鸿恒合商贸有限公司	106.491011,29.583271
重庆南旭环保工程有限公司	106.574770,29.536734
重庆卡尔波生物技术有限公司	106.444648,29.555644
重庆优仙建设工程有限公司	106.614102,29.665520
重庆环投生态环境监测网络与工程治理有限公司	106.491531,29.591705
重庆义薄天园林绿化工程有限公司	106.611246,29.711739
重庆锋杰利贸易有限公司	106.471946,29.731873
重庆御城实业发展有限公司	106.608589,29.708551
重庆恒芮万景园林工程有限公司	查询失败
重庆建博实业有限公司	106.462086,29.565250
重庆一广吊装有限公司	106.393014,29.803706
重庆福亿家家政服务有限公司	106.549795,29.436681
重庆宸青建筑劳务有限公司	106.148266,29.065605
重庆聚嘉建材有限公司	106.279717,29.426420
重庆卡拉斯酒店管理有限公司	106.562828,29.570173
重庆金猪报喜文化传播有限公司	106.616534,29.693051
重庆坤銮建材有限公司	108.386349,30.782537
重庆晟渝建材有限公司	106.249779,29.275198
重庆蕊部科技有限公司	106.462102,29.591689
重庆市顺乐物业管理有限公司	106.256985,29.269761
重庆乾谋升越生态农业发展有限公司	106.543231,29.404922
重庆佳谷农业股份合作社	106.880372,29.662407
重庆喜巍生态农业发展有限公司	106.430176,29.882960
重庆闪耀装饰工程有限公司	106.529500,29.584000
重庆半边月村勤美农业专业合作社	106.720723,29.960549
重庆紫馨岚农业发展有限公司	106.321327,29.474154
重庆曼禾装饰工程有限公司	106.445122,29.822616
重庆术林劳务有限公司	106.519047,29.586184
重庆牟家村农业股份合作社	106.377200,29.490942
重庆贤昶生态农业有限公司	106.302676,29.211363
重庆美欣园林景观工程有限公司	106.570188,29.895387
重庆辰启硕劳务有限公司	108.364960,30.840245
重庆点莹景观设计中心	查询失败
重庆汇旭实业有限公司	106.628053,29.713228
重庆数智振兴乡村旅游产业有限公司	106.474996,29.572587
重庆瑞锦物业管理有限公司	106.378719,29.671720
重庆碧群生态农业发展股份合作社	106.606180,30.042703
重庆壹帘优梦装饰设计工程有限公司	106.590458,29.649864
重庆市驰翔市政工程有限公司	106.473693,29.555990
重庆金博利商贸有限公司	106.773083,30.013496
重庆邦迈建筑工程有限公司	106.623168,29.716175
重庆阔之宽建筑劳务有限公司	108.406362,30.883076
重庆市江津区代家沟农业开发有限公司	106.403924,29.197571
重庆展发建筑装饰设计工程有限公司	查询失败
重庆市中晶花木种植场	106.611869,29.384836
重庆江与舟园林建设有限公司	106.465563,29.590279
重庆市碧烨兴商贸有限责任公司	106.614574,29.698327
重庆浙兴金属材料有限公司	106.625719,29.322778
重庆富信劳务有限公司	106.578192,29.603726
重庆年红自动化技术有限公司	106.443521,29.772682
重庆君栖物业服务有限公司	108.409870,30.814657
重庆强浪威建筑劳务有限公司	106.575801,29.518451
重庆盛夏建筑装饰工程有限公司	106.564661,29.498730
重庆岑立建筑劳务有限公司	106.562831,29.521427
重庆煜耀实业发展有限公司	106.569180,29.518416
中酉装饰工程（重庆）有限公司	106.559456,29.527558
重庆佑民轩劳务有限公司	106.707402,29.458725
蒂洛森（重庆）建设工程有限公司	106.474557,29.589925
重庆唐刚建筑劳务有限公司	106.504383,29.540465
重庆天人合环保有限责任公司	106.544594,29.557185
重庆天晟佳宅装饰工程有限公司	106.569618,29.533251
重庆金共本科技发展有限公司	106.607793,29.384469
重庆建身通建材经营部	106.625719,29.322778
重庆壹绪机械设备租赁有限公司	106.607841,29.385416
重庆市北碚区伟天物业管理有限公司	106.412223,29.804033
重庆万碟人力资源管理有限公司	106.366201,29.467408
重庆清富奇有害生物防治有限公司	106.547092,29.571699
重庆环福园林景观工程有限公司	106.608706,29.648514
重庆方野环境科技有限公司	106.522295,29.596829
重庆鸿盛堂实业有限公司	106.500108,29.566505
重庆梦舍建筑设计咨询有限公司	查询失败
重庆星洋禾生态环境科技有限公司	106.681146,29.639558
重庆大合意装饰工程有限公司	106.575102,29.555509
重庆曼淡园林景观工程有限公司	106.617744,29.695985
恺悦秉建筑工程（重庆）有限公司	106.520904,29.375886
重庆多鸣科技有限公司	查询失败
重庆市信禾乡村旅游有限公司	106.102263,29.053595
重庆津奥力农业开发有限公司	106.094129,29.232869
重庆万恒建筑劳务有限公司	106.633825,29.731971
重庆红墨坊装饰工程有限公司	106.544452,29.399161
重庆奔汇文化传播有限公司	106.540189,29.555187
重庆妙栽生物科技有限公司	106.308089,29.525670
重庆科弘明商贸有限公司	106.466893,29.546860
重庆顺韵隆商业管理有限责任公司	106.539374,29.526489
重庆祺欣祥建筑劳务有限公司	106.528883,29.460526
陕建（重庆）建设发展有限公司	106.336023,29.512728
重庆巴古保洁服务有限公司	106.528591,29.566798
重庆特胜装修工程有限公司	106.517621,29.379546
重庆鸿启装饰工程有限公司	106.545507,29.402017
重庆文胜建筑工程设备租赁有限公司	106.404431,29.531206
重庆缘之玉农业有限公司	106.518940,29.379657
重庆韵基辉建筑工程有限公司	106.625538,29.470339
重庆鼎建吊装有限公司	106.533949,29.373652
重庆鑫祖宏商贸有限公司	106.629959,30.058448
重庆福峻贤建设工程有限公司	108.607226,30.922714
重庆森茂建材有限公司	106.644428,29.500297
重庆圣境缘园林景观工程有限公司	106.568039,29.527619
重庆横度装饰设计有限公司	106.573165,29.588353
重庆中润健康管理（集团）有限公司	106.524808,29.598446
重庆市锦邦机械租赁有限公司	106.140010,29.058413
重庆智力环境开发策划咨询有限公司	106.517659,29.537774
嘉元晟通（重庆）实业有限公司	106.499130,29.599549
重庆惠帅生态农业专业合作社	106.365633,29.643048
重庆腾犇建筑工程有限公司	106.545561,29.523215
重庆云朗建筑劳务有限公司	106.254845,29.283606
重庆泊森环保科技有限公司	106.551222,29.433594
重庆卓府装饰工程有限公司	106.525270,29.560381
重庆科墨装饰设计有限公司	106.398046,29.803239
重庆盛佳煜建筑工程有限公司	106.486398,29.735195
重庆万亨泰企业管理咨询有限公司	106.523907,29.597803
重庆市南乔花木种植场	106.616085,29.343208
重庆和飞园林绿化工程有限公司	106.148266,29.065605
重庆华渝水电建设有限公司	106.569758,29.530616
重庆卿赐生态农业发展有限公司	106.616085,29.343208
重庆帮盛果蔬股份合作社	106.629959,30.058448
重庆寒舍园林景观工程有限公司	106.664089,29.177014
重庆飞越环境工程有限公司	106.316585,29.523482
重庆烨煌装饰工程有限公司	查询失败
重庆丹枫莱津建筑安装工程有限公司	106.262373,29.281133
重庆波司玻璃有限公司	106.369108,29.469833
重庆玉臻废旧物资回收有限公司	106.608706,29.648514
重庆环盾环保咨询有限公司	106.491097,29.591793
重庆艾尔净环保科技有限公司	106.529833,29.571644
